year,month,customer,new_cluster,total_purchase_amount,total_transaction_count
2015,1,c1,0,3335,3
2015,1,c10,0,2770,1
2015,1,c100,0,1500,1
2015,1,c101,0,1150,1
2015,1,c102,0,1958,1
2015,1,c103,3,2622,1
2015,1,c104,0,2240,1
2015,1,c105,0,2240,1
2015,1,c106,1,2090,1
2015,1,c107,3,2620,1
2015,1,c108,3,2166,1
2015,1,c109,3,1730,4
2015,1,c11,3,5507,5
2015,1,c110,2,4507,5
2015,1,c111,2,10098,12
2015,1,c112,1,523,1
2015,1,c113,1,530,1
2015,1,c114,3,4107,4
2015,1,c115,0,5585,8
2015,1,c116,0,3479,2
2015,1,c117,3,4020,3
2015,1,c118,3,1949,2
2015,1,c119,1,7708,9
2015,1,c12,0,1940,1
2015,1,c121,0,256,2
2015,1,c122,3,3143,2
2015,1,c123,0,476,4
2015,1,c124,2,5008,5
2015,1,c125,3,3353,9
2015,1,c127,2,3560,4
2015,1,c128,3,9697,8
2015,1,c129,0,5190,5
2015,1,c13,3,7805,6
2015,1,c130,3,3204,3
2015,1,c131,0,176,5
2015,1,c132,1,5340,3
2015,1,c133,1,14600,11
2015,1,c134,0,2033,2
2015,1,c135,3,1974,2
2015,1,c136,1,3780,4
2015,1,c137,3,9731,6
2015,1,c138,2,939,1
2015,1,c139,0,3099,2
2015,1,c14,3,7195,4
2015,1,c140,0,370,1
2015,1,c141,3,7140,8
2015,1,c142,0,1739,1
2015,1,c143,1,827,1
2015,1,c144,1,1435,1
2015,1,c145,3,6305,7
2015,1,c146,3,3260,1
2015,1,c147,1,3630,2
2015,1,c148,1,7881,4
2015,1,c149,0,1234,4
2015,1,c15,3,5200,6
2015,1,c150,3,8535,6
2015,1,c151,1,750,1
2015,1,c152,2,11183,8
2015,1,c153,3,14011,13
2015,1,c154,0,3023,3
2015,1,c155,1,4550,3
2015,1,c157,2,10059,6
2015,1,c158,3,3083,2
2015,1,c159,1,2445,6
2015,1,c16,0,1264,1
2015,1,c160,0,3506,2
2015,1,c161,0,2360,1
2015,1,c162,0,2063,2
2015,1,c163,3,1574,2
2015,1,c164,1,2805,2
2015,1,c165,0,1513,1
2015,1,c166,1,4123,3
2015,1,c167,1,20618,12
2015,1,c168,1,17253,14
2015,1,c169,0,4073,2
2015,1,c17,1,16242,12
2015,1,c170,1,5685,9
2015,1,c171,1,20678,14
2015,1,c172,0,7150,4
2015,1,c174,3,3923,4
2015,1,c175,1,8346,21
2015,1,c176,2,1283,1
2015,1,c177,0,893,2
2015,1,c178,3,1130,1
2015,1,c179,0,1640,2
2015,1,c18,3,4654,4
2015,1,c180,0,5061,4
2015,1,c181,0,3460,4
2015,1,c182,0,2186,2
2015,1,c183,0,1131,1
2015,1,c184,0,3555,3
2015,1,c185,0,4392,4
2015,1,c186,1,3987,4
2015,1,c187,3,14437,10
2015,1,c188,0,5711,4
2015,1,c189,1,1816,1
2015,1,c19,0,4704,5
2015,1,c190,0,1587,1
2015,1,c191,0,4884,6
2015,1,c192,3,3479,2
2015,1,c193,2,115,1
2015,1,c194,3,3174,2
2015,1,c195,0,1580,4
2015,1,c196,1,4051,5
2015,1,c197,0,1890,1
2015,1,c198,3,2110,2
2015,1,c199,0,2348,1
2015,1,c20,1,3360,2
2015,1,c200,0,1283,1
2015,1,c201,1,2414,2
2015,1,c202,0,1990,1
2015,1,c203,0,599,1
2015,1,c204,0,750,2
2015,1,c205,1,1435,1
2015,1,c206,3,399,3
2015,1,c207,3,827,1
2015,1,c208,0,523,1
2015,1,c209,3,3260,1
2015,1,c21,1,1000,1
2015,1,c210,1,4014,4
2015,1,c211,0,2196,1
2015,1,c212,0,2630,1
2015,1,c213,1,4400,3
2015,1,c214,0,4516,3
2015,1,c215,0,2272,2
2015,1,c216,3,1880,1
2015,1,c217,3,2500,1
2015,1,c218,0,1435,1
2015,1,c219,1,523,1
2015,1,c22,0,1500,2
2015,1,c220,1,1860,4
2015,1,c221,0,1131,1
2015,1,c222,0,2035,1
2015,1,c223,0,2196,1
2015,1,c224,1,6064,2
2015,1,c225,0,1740,1
2015,1,c226,3,2955,1
2015,1,c227,0,730,3
2015,1,c228,0,1880,1
2015,1,c229,1,1660,1
2015,1,c23,0,2660,2
2015,1,c230,0,5198,2
2015,1,c231,0,2214,3
2015,1,c232,3,1990,1
2015,1,c233,0,1350,1
2015,1,c234,3,1270,1
2015,1,c235,0,1350,1
2015,1,c236,3,1945,1
2015,1,c237,1,6945,3
2015,1,c238,3,1880,1
2015,1,c239,3,2640,1
2015,1,c24,0,1090,1
2015,1,c240,1,1380,1
2015,1,c241,0,4730,5
2015,1,c242,0,830,1
2015,1,c243,3,6570,7
2015,1,c244,3,855,3
2015,1,c245,1,4918,5
2015,1,c246,0,294,3
2015,1,c247,2,3270,3
2015,1,c248,1,3340,3
2015,1,c249,3,475,2
2015,1,c25,3,1000,1
2015,1,c250,0,1654,1
2015,1,c251,3,10409,14
2015,1,c252,1,2550,2
2015,1,c253,0,722,1
2015,1,c254,3,4601,4
2015,1,c255,0,1170,1
2015,1,c256,3,4540,5
2015,1,c257,0,2090,1
2015,1,c258,0,2174,1
2015,1,c259,3,2698,1
2015,1,c26,0,2130,1
2015,1,c260,0,2174,1
2015,1,c261,0,4310,2
2015,1,c262,3,2920,1
2015,1,c263,0,2925,1
2015,1,c264,3,4428,5
2015,1,c265,0,2242,1
2015,1,c266,1,1796,1
2015,1,c267,0,2165,1
2015,1,c268,3,2920,1
2015,1,c269,1,1330,1
2015,1,c27,0,1473,2
2015,1,c270,2,1400,1
2015,1,c271,3,2014,1
2015,1,c272,0,2546,1
2015,1,c273,0,3020,2
2015,1,c274,0,2745,5
2015,1,c275,1,4982,2
2015,1,c276,3,2630,1
2015,1,c277,0,4316,3
2015,1,c278,0,1578,1
2015,1,c279,0,2170,3
2015,1,c28,0,2658,2
2015,1,c280,0,930,4
2015,1,c281,0,418,1
2015,1,c282,0,465,1
2015,1,c283,0,550,1
2015,1,c284,0,4448,7
2015,1,c285,2,3982,7
2015,1,c286,3,7134,12
2015,1,c288,1,5947,3
2015,1,c289,1,11590,3
2015,1,c29,0,2700,2
2015,1,c290,0,2519,1
2015,1,c291,0,4473,8
2015,1,c292,3,3600,3
2015,1,c293,2,5065,3
2015,1,c294,0,3180,1
2015,1,c295,0,3170,1
2015,1,c296,0,4140,3
2015,1,c297,3,7832,4
2015,1,c298,3,9350,4
2015,1,c299,1,28000,8
2015,1,c3,3,2715,3
2015,1,c30,0,3602,5
2015,1,c301,1,6832,9
2015,1,c302,3,13012,7
2015,1,c303,1,945,1
2015,1,c304,1,4668,2
2015,1,c305,0,5800,1
2015,1,c306,3,5800,1
2015,1,c307,3,5800,1
2015,1,c308,3,5800,1
2015,1,c309,3,5800,1
2015,1,c31,0,2120,1
2015,1,c310,3,5800,13
2015,1,c311,3,5800,1
2015,1,c312,0,5800,1
2015,1,c313,2,12807,12
2015,1,c314,0,2380,1
2015,1,c315,3,2430,1
2015,1,c316,3,6541,5
2015,1,c317,0,2432,1
2015,1,c318,0,256,1
2015,1,c319,0,831,6
2015,1,c32,0,1692,1
2015,1,c320,2,2733,2
2015,1,c321,0,4450,3
2015,1,c322,0,2926,1
2015,1,c323,0,3900,1
2015,1,c324,0,3000,1
2015,1,c325,0,1045,1
2015,1,c326,1,6273,8
2015,1,c327,0,1191,1
2015,1,c328,3,6907,5
2015,1,c329,0,1046,2
2015,1,c33,3,5723,3
2015,1,c330,3,6625,8
2015,1,c332,3,2606,6
2015,1,c333,0,2717,3
2015,1,c334,3,830,5
2015,1,c335,2,4445,3
2015,1,c336,0,1948,1
2015,1,c337,0,1948,1
2015,1,c338,0,1610,1
2015,1,c34,1,3382,2
2015,1,c340,3,1948,1
2015,1,c341,0,6328,6
2015,1,c342,3,4571,3
2015,1,c343,0,2984,4
2015,1,c344,3,6216,5
2015,1,c345,0,0,6
2015,1,c346,0,1131,1
2015,1,c347,3,599,1
2015,1,c348,0,675,1
2015,1,c349,3,1131,1
2015,1,c35,0,3964,2
2015,1,c350,3,623,1
2015,1,c351,0,1406,1
2015,1,c352,0,2242,5
2015,1,c353,0,2166,1
2015,1,c354,3,1710,1
2015,1,c355,0,2242,1
2015,1,c356,1,982,2
2015,1,c357,0,2643,1
2015,1,c358,2,1720,1
2015,1,c36,0,1870,3
2015,1,c360,0,1713,3
2015,1,c361,0,827,1
2015,1,c362,1,4287,4
2015,1,c363,1,6238,4
2015,1,c364,1,4848,4
2015,1,c365,0,1739,1
2015,1,c366,1,2272,1
2015,1,c367,2,1958,2
2015,1,c368,1,4972,5
2015,1,c369,3,2196,1
2015,1,c37,0,1093,1
2015,1,c370,0,2170,1
2015,1,c373,0,523,1
2015,1,c374,1,1648,4
2015,1,c375,0,2633,3
2015,1,c376,3,827,1
2015,1,c377,0,1283,1
2015,1,c378,0,5304,3
2015,1,c379,0,1435,1
2015,1,c38,0,1330,1
2015,1,c381,3,1090,1
2015,1,c382,1,751,1
2015,1,c383,0,3590,2
2015,1,c384,1,1720,1
2015,1,c385,2,1720,1
2015,1,c386,3,2348,1
2015,1,c387,2,1570,1
2015,1,c388,0,5102,8
2015,1,c389,0,2546,2
2015,1,c39,1,3687,2
2015,1,c390,2,2426,1
2015,1,c392,0,2920,1
2015,1,c4,3,1540,3
2015,1,c40,1,630,1
2015,1,c41,0,2000,3
2015,1,c42,0,4271,3
2015,1,c43,3,2680,2
2015,1,c44,3,7682,3
2015,1,c45,1,4628,2
2015,1,c46,0,3160,1
2015,1,c47,3,2736,1
